Make,Model,Seats,Fuselage Width,Fuselage Length,Footprint,Skin Surface Area (sq ft),Maintenance Wash Hours,Decon Paint Hours,One Step Polish Hours,Fly Shiny Static Guard Wax Hours,Fly Shiny Air Gaurd Spray Ceramic Hours,Fly Shiny Pro Ceramic Coating Hours,Clean/Condition Leather Hours,Extract Carpets Hours,Bronze Package Hours,Silver Package Hours,Gold Package Hours,Platinum Package Hours,Shiny Jet Package Hours
Cessna Citation,XLS/650/560,9,,52.6,2966.64,"e2,300",9.17,10.56,38.33,13.33,,47.78,3.75,1.67,,,,,
Cessna Citation,X ,10,,72.53,4612.908,,13.33,15.56,59.44,21.11,,73.89,4.17,2.22,,,,,
Cessna Citation,X+,10,,73.7,5100.04,"e3,200",15.00,17.78,65.56,23.33,,81.67,4.17,2.78,,,,,
Cessna Citation,Latitude/680,9,,62.3,4510.52,"e3,400",13.33,15.56,57.78,20.56,,72.22,3.75,2.22,,,,,
Cessna Citation,Longitude,12,,73.2,4985.652,"e3,700",15.00,17.78,63.89,22.78,,80.00,5.00,2.78,,,,,
Cessna Citation,Hemisphere,,,,0,"e4,500",,,,,,,,,,,,,
,Bravo,,,,0,"e1,850",,,,,,,,,,,,,
,550/551,,,,,"e1,800",,,,,,,,,,,,,
Cirrus,SR20/22,4,,26,998.4,e720,2.50,2.89,7.78,5.56,,,1.33,1.11,,,,,
Cirrus,Vision/SF50,6,,30,1164,"e1,050",2.92,3.39,9.44,6.67,,,2.00,1.11,,,,,
Aero Commander,690,5,,43.1,2006.305,"e1,680",2.56,2.56,13.38,6.97,,27.87,1.39,1.39,,,,,
Daher,TBM 800,6,,35,1438.5,"e1,380",4.17,5.00,18.89,6.67,,23.33,2.67,1.11,,,,,
Daher - Kodiak,Kodiak 100,10,,34.2,1539,"e1,480",5.00,6.11,20.00,7.22,,25.00,4.44,1.11,,,,,
Daher,TBM 940/960,6,,38.7,1629.27,"e1,520",5.00,6.11,21.11,7.78,,26.11,2.67,1.67,,,,,
Daher,TBM 900,10,,38.7,1629.27,"e1,520",5.00,6.11,21.11,7.78,,26.11,4.44,1.67,,,,,
Daher - Kodiak,Kodiak 900,9,,47.3,1991.33,"e1,800",5.83,7.22,25.56,9.44,,32.22,4.00,1.67,,,,,
Daher,TBM 910,6,,46,2484,"e2,100",7.50,8.89,32.22,11.11,,40.00,2.67,1.67,,,,,
Dassault,Falcon 10,7,,45.42,2267.3664,"e1,800",6.67,7.78,29.44,10.56,,36.67,3.11,1.67,,,,,
Dassault,Falcon 20 ,8,,56.25,3009.375,,9.17,10.56,38.89,13.89,,48.33,4.44,2.22,,,,,
Dassault,Falcon 50,8,,60.8,3764.736,"e3,100",10.83,12.78,48.33,17.22,,60.56,4.44,2.22,,,,,
Dassault,Falcon 2000,15,,66.25,4195.6125,"e3,400",12.50,14.44,53.89,18.89,,67.22,8.33,2.22,,,,,
Dassault,Falcon 900,15,,66.25,4195.6125,"e3,500",12.50,14.44,53.89,18.89,,67.22,8.33,2.22,,,,,
Dassault,Falcon 6X,16,,54.3,4620.93,"e4,000",13.33,15.56,59.44,21.11,,73.89,8.89,1.67,,,,,
Dassault,Falcon 7X,12,,76.08,6542.88,"e5,100",19.17,22.22,83.89,29.44,,105.00,6.67,2.78,,,,,
Dassault,Falcon 5X,16,,83,7063.3,"e5,400",20.83,24.44,90.56,31.67,,113.33,8.89,2.78,,,,,
Dassault,Falcon 10X,19,,99.9,10289.7,"e7,200",30.00,35.00,131.67,46.11,,164.44,10.56,3.33,,,,,
Dassualt,Falcon 8X,12,,109,11227,"e7,800",32.50,37.78,143.89,50.56,,179.44,6.67,3.89,,,,,
Eclipse,EA500/EA50,4,,33.5,1273,"e1,020",1.67,1.67,8.89,4.44,,17.78,1.11,1.11,,,,,
Engstrom,Enstrom F‑28A,6,5,35.8,179,e980,4.50,3.61,4.22,6.00,8.00,26.44,1.67,1.11,,,,,
